286;Ceará;;;América-MG
287;Goiás;;;Fortaleza
288;Avaí;;;Atlético-GO
289;Athletico-PR;;;Juventude
290;América-MG;;;São Paulo
291;Flamengo;;;Internacional
292;Bragantino;;;Cuiabá
293;Palmeiras;;;Coritiba
294;Santos;;;Atlético-MG
295;Juventude;;;Corinthians
296;Ceará;;;Goiás
297;Atlético-GO;;;Fluminense
298;Avaí;;;Botafogo
299;Athletico-PR;;;Fortaleza
300;Atlético-MG;;;Ceará
301;Fluminense;;;América-MG
302;São Paulo;;;Botafogo
303;Corinthians;;;Athletico-PR
304;Santos;;;Juventude
305;Internacional;;;Goiás
306;Fortaleza;;;Avaí
307;Atlético-GO;;;Palmeiras
308;Cuiabá;;;Flamengo
309;Coritiba;;;Bragantino
310;América-MG;;;Fortaleza
311;Flamengo;;;Atlético-MG
312;Bragantino;;;Santos
313;Palmeiras;;;São Paulo
314;Botafogo;;;Internacional
315;Juventude;;;Atlético-GO
316;Ceará;;;Cuiabá
317;Goiás;;;Corinthians
318;Avaí;;;Fluminense
319;Athletico-PR;;;Coritiba
320;América-MG;;;Flamengo
321;Fluminense;;;Botafogo
322;Bragantino;;;Athletico-PR
323;Palmeiras;;;Avaí
324;Santos;;;Corinthians
325;Juventude;;;São Paulo
326;Fortaleza;;;Atlético-MG
327;Atlético-GO;;;Ceará
328;Cuiabá;;;Goiás
329;Coritiba;;;Internacional
330;Atlético-MG;;;Juventude
331;Flamengo;;;Santos
332;São Paulo;;;Atlético-GO
333;Corinthians;;;Fluminense
334;Botafogo;;;Bragantino
335;Internacional;;;Ceará
336;Fortaleza;;;Coritiba
337;Goiás;;;América-MG
338;Cuiabá;;;Avaí
339;Athletico-PR;;;Palmeiras
340;América-MG;;;Internacional
341;Flamengo;;;Corinthians
342;São Paulo;;;Atlético-MG
343;Palmeiras;;;Fortaleza
344;Botafogo;;;Cuiabá
345;Juventude;;;Coritiba
346;Ceará;;;Fluminense
347;Atlético-GO;;;Santos
348;Avaí;;;Bragantino
349;Athletico-PR;;;Goiás
350;Atlético-MG;;;Botafogo
351;Fluminense;;;São Paulo
352;Bragantino;;;América-MG
353;Corinthians;;;Ceará
354;Santos;;;Avaí
355;Internacional;;;Athletico-PR
356;Fortaleza;;;Atlético-GO
357;Goiás;;;Juventude
358;Cuiabá;;;Palmeiras
359;Coritiba;;;Flamengo
360;Atlético-MG;;;Cuiabá
361;Fluminense;;;Goiás
362;São Paulo;;;Internacional
363;Palmeiras;;;América-MG
364;Botafogo;;;Santos
365;Juventude;;;Flamengo
366;Fortaleza;;;Bragantino
367;Atlético-GO;;;Athletico-PR
368;Avaí;;;Ceará
369;Coritiba;;;Corinthians
370;América-MG;;;Atlético-GO
371;Flamengo;;;Avaí
372;Bragantino;;;Fluminense
373;Corinthians;;;Atlético-MG
374;Santos;;;Fortaleza
375;Internacional;;;Palmeiras
376;Ceará;;;Juventude
377;Goiás;;;São Paulo
378;Cuiabá;;;Coritiba
379;Athletico-PR;;;Botafogo
