195;Internacional;3;0;Atletico-MG;R;118;119;120;1000;1000;1000;1000;1000;1000;1000
196;Ceara;1;2;Palmeiras;R;150;41;42;1000;1000;1000;1000;1000;1000;1000
197;Goias;1;0;Coritiba;R;218;1000;1000;1000;1000;1000;1000;1000;1000;1000
198;Cuiaba;0;1;Fortaleza;R;76;1000;1000;1000;1000;1000;1000;1000;1000;1000
199;Athletico-PR;1;0;Sao Paulo;R;141;1000;1000;1000;1000;1000;1000;1000;1000;1000
200;Atletico-MG;2;3;Athletico-PR;R;8;9;139;140;141;1000;1000;1000;1000;1000
201;Fluminense;1;0;Cuiaba;R;17;1000;1000;1000;1000;1000;1000;1000;1000;1000
202;Sao Paulo;0;2;Flamengo;R;195;195;1000;1000;1000;1000;1000;1000;1000;1000
203;Palmeiras;3;0;Goias;R;40;41;42;1000;1000;1000;1000;1000;1000;1000
204;Botafogo;1;1;Ceara;R;51;151;1000;1000;1000;1000;1000;1000;1000;1000
205;Juventude;0;1;America-MG;R;207;1000;1000;1000;1000;1000;1000;1000;1000;1000
206;Fortaleza;3;0;Internacional;R;73;74;75;1000;1000;1000;1000;1000;1000;1000
207;Atletico-GO;2;1;Bragantino;R;85;86;171;1000;1000;1000;1000;1000;1000;1000
208;Avai;1;1;Corinthians;R;98;159;1000;1000;1000;1000;1000;1000;1000;1000
209;Coritiba;1;2;Santos;R;107;128;129;1000;1000;1000;1000;1000;1000;1000
210;America-MG;1;0;Santos;R;207;1000;1000;1000;1000;1000;1000;1000;1000;1000
211;Flamengo;5;0;Athletico-PR;R;192;193;194;195;196;1000;1000;1000;1000;1000
212;Sao Paulo;3;0;Bragantino;R;29;30;31;1000;1000;1000;1000;1000;1000;1000
213;Corinthians;0;1;Palmeiras;R;38;1000;1000;1000;1000;1000;1000;1000;1000;1000
214;Botafogo;0;0;Atletico-GO;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
215;Internacional;3;0;Fluminense;R;118;119;120;1000;1000;1000;1000;1000;1000;1000
216;Ceara;0;1;Fortaleza;R;74;1000;1000;1000;1000;1000;1000;1000;1000;1000
217;Goias;1;1;Avai;R;218;96;1000;1000;1000;1000;1000;1000;1000;1000
218;Cuiaba;1;0;Juventude;R;186;1000;1000;1000;1000;1000;1000;1000;1000;1000
219;Coritiba;0;1;Atletico-MG;R;9;1000;1000;1000;1000;1000;1000;1000;1000;1000
220;Atletico-MG;0;1;Goias;R;217;1000;1000;1000;1000;1000;1000;1000;1000;1000
221;Fluminense;5;2;Coritiba;R;16;17;18;19;20;106;107;1000;1000;1000
222;Bragantino;1;1;Ceara;R;172;151;1000;1000;1000;1000;1000;1000;1000;1000
223;Palmeiras;1;1;Flamengo;R;40;195;1000;1000;1000;1000;1000;1000;1000;1000
224;Santos;1;0;Sao Paulo;R;129;1000;1000;1000;1000;1000;1000;1000;1000;1000
225;Juventude;2;2;Botafogo;R;61;61;50;50;1000;1000;1000;1000;1000;1000
226;Fortaleza;1;0;Corinthians;R;74;1000;1000;1000;1000;1000;1000;1000;1000;1000
227;Atletico-GO;1;1;Cuiaba;R;83;183;1000;1000;1000;1000;1000;1000;1000;1000
228;Avai;0;1;Internacional;R;118;1000;1000;1000;1000;1000;1000;1000;1000;1000
229;Athletico-PR;1;1;America-MG;R;140;206;1000;1000;1000;1000;1000;1000;1000;1000
230;America-MG;1;1;Atletico-MG;R;205;6;1000;1000;1000;1000;1000;1000;1000;1000
231;Fluminense;1;1;Palmeiras;R;16;41;1000;1000;1000;1000;1000;1000;1000;1000
232;Sao Paulo;0;1;Fortaleza;R;74;1000;1000;1000;1000;1000;1000;1000;1000;1000
233;Corinthians;1;0;Bragantino;R;161;1000;1000;1000;1000;1000;1000;1000;1000;1000
234;Botafogo;0;1;Flamengo;R;195;1000;1000;1000;1000;1000;1000;1000;1000;1000
235;Internacional;4;0;Juventude;R;115;116;117;118;1000;1000;1000;1000;1000;1000
236;Ceara;0;0;Athletico-PR;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
237;Goias;2;1;Atletico-GO;R;217;218;86;1000;1000;1000;1000;1000;1000;1000
238;Cuiaba;0;0;Santos;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
239;Coritiba;1;0;Avai;R;108;1000;1000;1000;1000;1000;1000;1000;1000;1000
240;America-MG;2;0;Coritiba;R;207;208;1000;1000;1000;1000;1000;1000;1000;1000
241;Flamengo;1;1;Ceara;R;197;152;1000;1000;1000;1000;1000;1000;1000;1000
242;Bragantino;2;2;Palmeiras;R;172;173;38;39;1000;1000;1000;1000;1000;1000
243;Corinthians;2;2;Internacional;R;162;163;118;119;1000;1000;1000;1000;1000;1000
244;Santos;1;2;Goias;R;128;218;219;1000;1000;1000;1000;1000;1000;1000
245;Juventude;1;1;Avai;R;61;96;1000;1000;1000;1000;1000;1000;1000;1000
246;Fortaleza;1;3;Botafogo;R;74;50;51;52;1000;1000;1000;1000;1000;1000
247;Atletico-GO;0;2;Atletico-MG;R;7;8;1000;1000;1000;1000;1000;1000;1000;1000
248;Cuiaba;1;1;Sao Paulo;R;185;30;1000;1000;1000;1000;1000;1000;1000;1000
249;Athletico-PR;1;0;Fluminense;R;139;1000;1000;1000;1000;1000;1000;1000;1000;1000
250;Atletico-MG;1;1;Bragantino;R;6;172;1000;1000;1000;1000;1000;1000;1000;1000
251;Fluminense;0;0;Fortaleza;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
252;Sao Paulo;0;0;Corinthians;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
253;Palmeiras;0;0;Juventude;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
254;Botafogo;0;0;America-MG;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
255;Internacional;0;0;Cuiaba;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
256;Ceara;0;0;Santos;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
257;Goias;0;0;Flamengo;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
258;Avai;0;0;Athletico-PR;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
259;Coritiba;0;0;Atletico-GO;P;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
